2214,"Kids WB Promos",3,,"2022-09-26T18:33:37.613"
1416,"Hidden Legends",3,,"2025-05-06T17:41:18.573"
1377,"Team Magma vs Team Aqua",3,,"2025-05-08T18:10:12.653"
1376,"Dragon",3,,"2025-03-27T20:07:31.94"
1392,"Sandstorm",3,,"2025-02-05T21:15:37.663"
1393,"Ruby and Sapphire",3,,"2025-07-30T16:28:04.42"
1372,"Skyridge",3,,"2024-11-11T13:43:24.033"
1397,"Aquapolis",3,,"2025-03-27T20:11:32.017"
1455,"Best of Promos",3,,"2025-01-15T13:59:34.26"
1375,"Expedition",3,,"2025-01-25T10:54:55.107"
24493,"e-Reader Sample Cards",3,,"2025-10-10T15:09:41.6"
1374,"Legendary Collection",3,,"2025-09-24T20:24:23.99"
1444,"Neo Destiny",3,,"2025-02-05T21:14:41.987"
1389,"Neo Revelation",3,,"2025-05-29T18:04:23.283"
648,"Southern Islands",3,,"2025-01-13T18:34:58.453"
1434,"Neo Discovery",3,,"2025-10-10T23:15:29.327"
1396,"Neo Genesis",3,,"2025-07-24T20:16:58.62"
1440,"Gym Challenge",3,,"2025-05-25T08:51:40.247"
1441,"Gym Heroes",3,,"2025-10-14T19:31:52.15"
1373,"Team Rocket",3,,"2025-10-10T23:50:37.547"
605,"Base Set 2",3,,"2025-10-11T00:04:09.25"
630,"Fossil",3,,"2025-10-11T00:00:00.217"
1418,"WoTC Promo",3,,"2025-10-01T02:26:02.473"
635,"Jungle",3,,"2025-10-11T00:02:20.903"
604,"Base Set",3,,"2025-10-10T23:59:11.597"
1663,"Base Set (Shadowless)",3,,"2025-10-16T00:04:36.997"
2289,"Blister Exclusives",3,,"2025-08-07T16:06:28.43"
1543,"EX Trainer Kit 1: Latias & Latios",3,,"2025-08-21T16:20:14.833"
1542,"EX Trainer Kit 2: Plusle & Minun",3,,"2024-05-03T19:42:49.017"
1423,"Nintendo Promos",3,,"2024-08-28T16:26:10.73"
1422,"POP Series 1",3,,"2025-03-17T17:09:52.317"
1447,"POP Series 2",3,,"2024-11-11T13:40:36.19"
1442,"POP Series 3",3,,"2022-10-25T17:28:02.897"
1452,"POP Series 4",3,,"2023-02-01T15:02:28.727"
1439,"POP Series 5",3,,"2024-03-23T21:26:09.477"
1432,"POP Series 6",3,,"2024-02-21T13:38:42.5"
1414,"POP Series 7",3,,"2025-01-08T07:03:26.94"
1450,"POP Series 8",3,,"2025-02-25T12:13:14.7"
1446,"POP Series 9",3,,"2023-02-01T18:34:12.12"
